EntryType;Column;Value;Order;BG;CS;DA;DE;DE_1;DE_2;DE_3;EL;EL_1;EN;EN_1;EN_2;ES;ET;FI;FR;FR_1;FR_2;FR_3;HR;HU;IS;IT;IT_1;LT;LU;LV;MK;MT;NL;NL_1;NO;PL;PT;RO;RU_1;RU_2;RU_3;SK;SL;SR;SV;SV_1
Answer;E3Q201_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q202_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q250;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q250;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q251;Conducted mainly by internal staff;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q251;Contracted mainly to external providers;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q251;Both about equally;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_6;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q252_6;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q256gr;2019;1;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019
Answer;E3Q256gr;2018;2;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018
Answer;E3Q256gr;2017;3;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
Answer;E3Q256gr;2016;4;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016
Answer;E3Q256gr;2015;5;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015
Answer;E3Q256gr;Before 2015;6;преди 2015 г.;před rokem 2015;før 2015;vor 2015;vor 2015;vor 2015;vor 2015;πριν το 2015;πριν το 2015;before 2015;before 2015;before 2015;antes de 2015;enne 2015. aastat;ennen vuotta 2015;Avant 2015;Avant 2015;Avant 2015;Avant 2015;prije 2015.;2015 előtt;fyrir 2015;prima del 2015;prima del 2015;iki 2015 m.;virun 2015;pirms 2015. gada;пред 2015 година;qabel l-2015;vóór 2015;vóór 2015;før 2015;przed 2015 r.;antes de 2015;înainte de 2015;до 2015 г.;до 2015 г.;до 2015 г.;pred rokom 2015;pred letom 2015;pre 2015.;före 2015;före 2015
Answer;E3Q256gr;Don't know;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q257;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q257;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q258;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q258;That depends on the type of measures;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q258;No;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q260_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_1;Major reason;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_1;Minor reason;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_1;Not a reason;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_2;Major reason;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_2;Minor reason;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_2;Not a reason;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_3;Major reason;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_3;Minor reason;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_3;Not a reason;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_4;Major reason;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_4;Minor reason;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_4;Not a reason;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_5;Major reason;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_5;Minor reason;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q262_5;Not a reason;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_1;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_1;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_1;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_2;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_2;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_2;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_3;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_3;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_3;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_4;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_4;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_4;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_5;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_5;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_5;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_6;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_6;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_6;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_7;Major difficulty;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_7;Minor difficulty;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q263_7;Not a difficulty;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q300;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q300;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q301;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q301;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q302;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q302;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q304_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q305;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q305;Partly;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q305;No;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q306;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q306;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q307;Easier;1;По-лесно;Jednodušší;Lettere;Einfacher;Einfacher;Einfacher;Einfacher;Πιο εύκολο;Πιο εύκολο;Easier;Easier;Easier;Más fáciles de abordar;Lihtsam;Helpompaa;Plus faciles;Plus faciles;Plus faciles;Plus faciles;Lakše;Könnyebb;Auðveldara;Più facile;Più facile;Lengviau;Méi einfach;Vieglāk novēršami;Полесно;Aktar faċli;Makkelijker;Gemakkelijker;Enklere;Łatwiejsze;Mais fáceis;Mai simplă;Легче;Легче;Легче;Ľahšie;Lažje;Lakši;Lättare;Lättare
Answer;E3Q307;No big difference ;2;Няма голяма разлика;Není velký rozdíl ;Ikke den store forskel;Kein großer Unterschied;Kein großer Unterschied;Kein großer Unterschied;Kein grosser Unterschied;Δεν υπάρχει μεγάλη διαφορά;Δεν υπάρχει μεγάλη διαφορά;No big difference;No big difference;No big difference;No hay grandes diferencias;Ei ole suurt erinevust;Ei paljonkaan eroa;Pas de grande différence;Pas de grande différence;Pas de grande différence;Pas de grande différence;Nema velike razlike;Nincs nagy különbség;Enginn stór munur;Non c’è grande differenza;Non c'è grande differenza;Nėra didelio skirtumo;Kee groussen Ënnerscheed;Nav lielas atšķirības;Нема голема разлика;M’hemmx differenza kbira;Geen groot verschil;Geen groot verschil;Ingen stor forskjell;Nie ma wielkiej różnicy;Não existe uma grande diferença;Nu există o mare diferență;Особой разницы нет;Особой разницы нет;Особой разницы нет;Žiadny veľký rozdiel;Ni velike razlike;Nema velike razlike;Ingen större skillnad;Ingen större skillnad
Answer;E3Q307;More difficult;3;По-трудно;Náročnější;Sværere;Schwieriger;Schwieriger;Schwieriger;Schwieriger;Πιο δύσκολο;Πιο δύσκολο;More difficult;More difficult;More difficult;Más difíciles de abordar;Keerulisem;Vaikeampaa;Plus difficiles;Plus difficiles;Plus difficiles;Plus difficiles;Teže;Nehezebb;Erfiðara;Più difficile;Più difficile;Sunkiau;Méi schwéier;Grūtāk novēršami;Потешко;Aktar diffiċli;Moeilijker;Moeilijker;Vanskeligere;Trudniejsze;Mais difíceis;Mai dificilă;Сложнее;Сложнее;Сложнее;Ťažšie;Težje;Teži;Svårare;Svårare
Answer;E3Q307;Don’t know;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q308_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q309;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q309;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_6;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q310_6;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q311;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q311;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_6;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_6;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_7;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_7;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_8;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q312_8;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q350_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q351;Elected by the employees;1;Избират се от работниците и служителите;Voleni zaměstnanci;Valgt af medarbejderne;Von den Beschäftigten gewählt;Von den Beschäftigten gewählt;Von den Beschäftigten gewählt;Von den Beschäftigten gewählt;Εκλέγονται από τους εργαζομένους;Εκλέγονται από τους εργαζομένους;Elected by the employees;Elected by the employees;Elected by the employees;Elegidos por los trabajadores;Valivad töötajad;Työntekijät valitsevat;Élus par les employés;Élus par les employés;Élus par les salariés;Élus par les employés;Biraju zaposlenici;A munkavállalók választják meg;Kosnir af starfsfólkinu;Eletti dai lavoratori;Eletti dai lavoratori;Renka darbuotojai;Vun de Mataarbechter gewielt;Ievēl darbinieki;Ги избираат вработените;Eletti mill-impjegati;Gekozen door de werknemers;Verkozen door de werknemers;Valgt av arbeidstakerne;Wybierani przez pracowników;Eleitos pelos trabalhadores;Aleși de angajați;Выбираются сотрудниками;Выбираются сотрудниками;Выбираются сотрудниками;Volia ich zamestnanci;Izvolijo jih zaposleni;Biraju ih zaposleni;Väljs  av medarbetarna;Valda  av medarbetarna
Answer;E3Q351;Selected by the employer;2;Назначавани от работодателя;Vybíráni zaměstnavatelem;Udpeget af arbejdsgiveren;Vom Arbeitgeber ausgesucht;Vom Arbeitgeber bestimmt;Vom Arbeitgeber bestimmt;Vom Arbeitgeber bestimmt;Επιλέγονται από τον εργοδότη;Επιλέγονται από τον εργοδότη;Selected by the employer;Selected by the employer;Selected by the employer;Seleccionados por el empleador;Valib tööandja;Työnantaja valitsee;Choisis par l'employeur;Désignés par l'employeur;Désignés par l'employeur;Désignés par l'employeur;Odabire poslodavac;A munkaadó jelöli ki;Valdir af vinnuveitandanum;Scelti dal datore di lavoro;Scelti dal datore di lavoro;Paskiria darbdavys;Vum Patron ernannt;Izvēlas darba devējs;Ги определува работодавачот;Magħżula minn min iħaddem;Geselecteerd door de werkgever;Geselecteerd door de werkgever;Valgt av arbeidsgiver;Wskazywani przez pracodawcę;Escolhidos pelo empregador;Selectați de angajator;Назначаются работодателем;Назначаются работодателем;Назначаются работодателем;Vyberá ich zamestnávateľ;Izbere jih delodajalec;Bira ih poslodavac;Utses av den fackliga organisationen;Utsedda av arbetsgivaren
Answer;E3Q351;Partly elected by employees, partly selected by employer;3;Отчасти се избират от работниците и служителите, отчасти се назначават от работодателя  ;Částečně voleni zaměstnanci, částečně vybíráni zaměstnavatelem  ;Delvist valgt af medarbejderne, delvist udpeget af arbejdsgiveren  ;Teils von den Beschäftigten gewählt, teils vom Arbeitgeber ausgesucht;Teils von den Beschäftigten gewählt, teils vom Arbeitgeber bestimmt;Teils von den Beschäftigten gewählt, teils vom Arbeitgeber bestimmt  ;Teils von den Beschäftigten gewählt, teils vom Arbeitgeber bestimmt  ;Εν μέρει εκλέγονται από τους εργαζομένους και εν μέρει επιλέγονται από τον εργοδότη  ;Εν μέρει εκλέγονται από τους εργαζομένους και εν μέρει επιλέγονται από τον εργοδότη  ;Partly elected by employees, partly selected by employer  ;Partly elected by employees, partly selected by employer  ;Partly elected by employees, partly selected by employer  ;En parte elegidos por los trabajadores, en parte seleccionados por el empleador;Osaliselt valivad töötajad, osaliselt valib tööandja  ;Osittain työntekijät valitsevat ja osittain työnantaja valitsee;Partiellement élus par les employés, partiellement choisis par les employeurs;Partiellement élus par les employés, partiellement choisis par les employeurs;Partiellement élus par les salariés, partiellement choisis par les employeurs;Partiellement élus par les employés, partiellement choisis par les employeurs;Dijelom biraju zaposlenici, dijelom odabire poslodavac  ;Részben a munkavállalók választják meg, részben a munkaadó jelöli ki  ;Að hluta til kosnir af starfsfólkinu, að hluta til valdir af vinnuveitandanum  ;In parte eletti dai lavoratori, in parte scelti dal datore di lavoro;In parte eletti dai lavoratori, in parte scelti dal datore di lavoro  ;Iš dalies renka darbuotojai, iš dalies paskiria darbdavys  ;Deelweis vun de Mataarbechter gewielt, deelweis vum Patron ernannt  ;Daļēji ievēl darbinieki, daļēji izvēlas darba devējs  ;   Делумно се избрани од вработените, делумно се определени од работодавачот;   Parzjalment eletti mill-impjegati, parzjalment magħżula minn min iħaddem;Deels gekozen door werknemers, deels geselecteerd door werkgever  ;Gedeeltelijk verkozen door werknemers, gedeeltelijk geselecteerd door de werkgever  ;Delvis valgt av arbeidstakerne, delvis valgt av arbeidsgiver  ;Częściowo wybierani przez pracowników, częściowo wskazywani przez pracodawcę  ;Em parte eleitos pelos trabalhadores, em parte escolhidos pelo empregador  ;Parțial aleși de angajați, parțial selectați de angajator  ;Частично выбираются сотрудниками, частично назначаются работодателем  ;Частично выбираются сотрудниками, частично назначаются работодателем  ;Частично выбираются сотрудниками, частично назначаются работодателем  ;   Niektorých volia zamestnanci, niektorých vyberá zamestnávateľ;   Delno jih izvolijo zaposleni, delno jih izbere delodajalec;Delimično izabrani od strane zaposlenih, delimično izabrani od strane poslodavca  ;Delvis facket och delvis medarbetarna  ;Dels valda av medarbetarna, dels utsedda av arbetsgivaren  
