Language|##|QuestionCode|##|Category|##|WebTranslation|##|FullTranslation|##|Note
CS|##|MM350|##|Účast zaměstnanců|##|Máte v tomto podniku radu zaměstnanců?|##|Máte v tomto podniku radu zaměstnanců?|##|Máte v tomto podniku radu zaměstnanců?
CS|##|MM351|##|Účast zaměstnanců|##|A existuje ve Vašem podniku nějaká odborová organizace?|##|A existuje ve Vašem podniku nějaká odborová organizace?|##|A existuje ve Vašem podniku nějaká odborová organizace?
CS|##|MM355all|##|Účast zaměstnanců|##|Má Váš podnik interního zástupce pro bezpečnost práce a ochranu zdraví?|##|Má Váš podnik interního zástupce pro bezpečnost práce a ochranu zdraví?|##|Má Váš podnik interního zástupce pro bezpečnost práce a ochranu zdraví?<br><br>NL: Je v tomto podniku člen zástupce zaměstnanců pro BOZP?
CS|##|MM358|##|Účast zaměstnanců|##|Existuje ve Vašem podniku výbor BOZP - Bezpečnost ochrany zdraví při práci?|##|Existuje ve Vašem podniku výbor BOZP - Bezpečnost ochrany zdraví při práci?|##|Existuje ve Vašem podniku výbor BOZP - Bezpečnost ochrany zdraví při práci?
DA|##|MM150_1|##|Håndtering af arbejdsmiljø|##|Brug af arbejdsmiljøtjenester: En speciallæge i arbejdsmedicin|##|En speciallæge i arbejdsmedicin|##|Hvilke arbejdsmiljøspecialister bruger I, enten som er ansat i virksomheden eller som I køber udefra?En speciallæge i arbejdsmedicin
DA|##|MM150_2|##|Håndtering af arbejdsmiljø|##|Brug af arbejdsmiljøtjenester: En sikkerhedingeniør|##|En sikkerhedingeniør|##|Hvilke arbejdsmiljøspecialister bruger I, enten som er ansat i virksomheden eller som I køber udefra?En sikkerhedingeniør
DA|##|MM150_3|##|Håndtering af arbejdsmiljø|##|Brug af arbejdsmiljøtjenester: En psykolog|##|En psykolog|##|Hvilke arbejdsmiljøspecialister bruger I, enten som er ansat i virksomheden eller som I køber udefra?En psykolog
DA|##|MM150_4|##|Håndtering af arbejdsmiljø|##|Brug af arbejdsmiljøtjenester: En fysio- eller ergoterapeut|##|En fysio- eller ergoterapeut|##|Hvilke arbejdsmiljøspecialister bruger I, enten som er ansat i virksomheden eller som I køber udefra?En fysio- eller ergoterapeut
DA|##|MM150_5|##|Håndtering af arbejdsmiljø|##|Brug af arbejdsmiljøtjenester: En almen arbejdsmiljørådgiver|##|En almen arbejdsmiljørådgiver|##|Hvilke arbejdsmiljøspecialister bruger I, enten som er ansat i virksomheden eller som I køber udefra?En almen arbejdsmiljørådgiver
DA|##|MM152|##|Håndtering af arbejdsmiljø|##|Analyserer jeres virksomhed rutinemæssigt årsagerne til sygdomsfravær?|##|Analyserer jeres virksomhed rutinemæssigt årsagerne til sygdomsfravær?|##|Analyserer jeres virksomhed rutinemæssigt årsagerne til sygdomsfravær?
DA|##|MM153|##|Håndtering af arbejdsmiljø|##|Hjælper virksomheden medarbejdere med at vende tilbage til arbejdet efter et længere sygdomsfravær?|##|Hjælper virksomheden medarbejdere med at vende tilbage til arbejdet efter et længere sygdomsfravær?|##|Hjælper virksomheden medarbejdere med at vende tilbage til arbejdet efter et længere sygdomsfravær?
DA|##|MM154|##|Håndtering af arbejdsmiljø|##|Føres der tilsyn med medarbejdernes sundhed via regelmæssige lægeundersøgelser?|##|Føres der tilsyn med medarbejdernes sundhed via regelmæssige lægeundersøgelser?|##|Føres der tilsyn med medarbejdernes sundhed via regelmæssige lægeundersøgelser?
DA|##|MM155|##|Håndtering af arbejdsmiljø|##|Har I en skriftlig politik, et fastlagt ledelsessystem eller en handlingsplan for arbejdsmiljøet i jeres virksomhed?|##|Har I en skriftlig politik, et fastlagt ledelsessystem eller en handlingsplan for arbejdsmiljøet i jeres virksomhed?|##|Har I en skriftlig politik, et fastlagt ledelsessystem eller en handlingsplan for arbejdsmiljøet i jeres virksomhed?
DA|##|MM158|##|Håndtering af arbejdsmiljø|##|Tages arbejdsmiljøspørgsmål op på ledelsesmøder regelmæssigt, en gang imellem eller stort set aldrig?|##|Tages arbejdsmiljøspørgsmål op på ledelsesmøder regelmæssigt, en gang imellem eller stort set aldrig?|##|Tages arbejdsmiljøspørgsmål op på ledelsesmøder regelmæssigt, en gang imellem eller stort set aldrig?
DA|##|MM159|##|Håndtering af arbejdsmiljø|##|I det store hele, hvordan vil du vurdere mellemledernes involvering i forvaltningen af arbejdsmiljøet på virksomheden? Er den meget stor, temmelig stor, temmelig lille eller meget lille?|##|I det store hele, hvordan vil du vurdere mellemledernes involvering i forvaltningen af arbejdsmiljøet på virksomheden? Er den meget stor, temmelig stor, temmelig lille eller meget lille?|##|I det store hele, hvordan vil du vurdere mellemledernes involvering i forvaltningen af arbejdsmiljøet på virksomheden? Er den meget stor, temmelig stor, temmelig lille eller meget lille?
DA|##|MM161|##|Håndtering af arbejdsmiljø|##|Gennemfører I regelmæssigt en arbejdspladsvurdering (APV) i jeres virksomhed?|##|Gennemfører I regelmæssigt en arbejdspladsvurdering (APV) i jeres virksomhed?|##|Gennemfører I regelmæssigt en arbejdspladsvurdering (APV) i jeres virksomhed?
DA|##|MM170|##|Håndtering af arbejdsmiljø|##|Har Arbejdstilsynet besøgt denne arbejdsplads inden for de seneste 3 år for at kontrollere arbejdsmiljøet?|##|Har Arbejdstilsynet besøgt denne arbejdsplads inden for de seneste 3 år for at kontrollere arbejdsmiljøet?|##|Har Arbejdstilsynet besøgt denne arbejdsplads inden for de seneste 3 år for at kontrollere arbejdsmiljøet?
DA|##|MM173_1|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Officielle institutioner for arbejdsmiljø|##|Officielle institutioner for arbejdsmiljø|##|Officielle institutioner for arbejdsmiljø
DA|##|MM173_2|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Det Europæiske Arbejdsmiljøagentur|##|Det Europæiske Arbejdsmiljøagentur|##|Det Europæiske Arbejdsmiljøagentur
DA|##|MM173_3|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Egne arbejdsmiljøspecialister|##|Egne arbejdsmiljøspecialister|##|Egne arbejdsmiljøspecialister
DA|##|MM173_4|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Arbejdstilsynet|##|Arbejdstilsynet|##|Arbejdstilsynet
DA|##|MM173_5|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Arbejdsgiverorganisationer|##|Arbejdsgiverorganisationer|##|Arbejdsgiverorganisationer
DA|##|MM173_6|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Fagforeninger|##|Fagforeninger|##|Fagforeninger
DA|##|MM173_7|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Eksterne konsulenter /arbejdsmiljørådgivere|##|Eksterne konsulenter /arbejdsmiljørådgivere|##|Eksterne konsulenter /arbejdsmiljørådgivere
DA|##|MM173_8|##|Håndtering af arbejdsmiljø|##|Har I gjort brug af arbejdsmiljøoplysninger fra nogen af følgende organer eller institutioner?.: Forsikringsselskaber|##|Forsikringsselskaber|##|Forsikringsselskaber
DA|##|MM175|##|Håndtering af arbejdsmiljø|##|Kender du til den europæiske arbejdsmiljø-uge?|##|Kender du til den europæiske arbejdsmiljø-uge?|##|Kender du til den europæiske arbejdsmiljø-uge?
DA|##|MM200_1|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Farlige stoffer (f.eks. støv, kemiske, biologiske eller radioaktive stoffer)|##|Farlige stoffer (f.eks. støv, kemiske, biologiske eller radioaktive stoffer)|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Farlige stoffer (f.eks. støv, kemiske, biologiske eller radioaktive stoffer)
DA|##|MM200_2|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Ulykker|##|Ulykker|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Ulykker
DA|##|MM200_3|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Støj og vibration|##|Støj og vibration|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Støj og vibration
DA|##|MM200_4|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Muskelskeletbesvær, som f.eks. smerter i ryggen, nakken, armene og benene|##|Muskelskeletbesvær, som f.eks. smerter i ryggen, nakken, armene og benene|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Muskelskeletbesvær, som f.eks. smerter i ryggen, nakken, armene og benene
DA|##|MM200_5|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Arbejdsrelateret stress|##|Arbejdsrelateret stress|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Arbejdsrelateret stress
DA|##|MM200_6|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Vold eller trusler om vold|##|Vold eller trusler om vold|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Vold eller trusler om vold
DA|##|MM200_7|##|Håndtering af arbejdsmiljø|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.: Mobning eller chikane, f.eks. kollegers eller overordnedes tilsvining, ydmygelse eller overfald|##|Mobning eller chikane, f.eks. kollegers eller overordnedes tilsvining, ydmygelse eller overfald|##|Kan du fortælle mig for hvert af følgende områder, om det vækker stor bekymring, en vis bekymring eller overhovedet ingen bekymring i jeres virksomhed.Mobning eller chikane, f.eks. kollegers eller overordnedes tilsvining, ydmygelse eller overfald
DA|##|MM202_1|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Tidspres|##|Tidspres|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Tidspres"
DA|##|MM202_2|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Dårlig kommunikation mellem ledelse og medarbejdere|##|Dårlig kommunikation mellem ledelse og medarbejdere|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Dårlig kommunikation mellem ledelse og medarbejdere"
DA|##|MM202_3|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Dårligt samarbejde mellem kolleger|##|Dårligt samarbejde mellem kolleger|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Dårligt samarbejde mellem kolleger"
DA|##|MM202_4|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Mangel på medarbejderindflydelse i tilrettelæggelsen af deres arbejde|##|Mangel på medarbejderindflydelse i tilrettelæggelsen af deres arbejde|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Mangel på medarbejderindflydelse i tilrettelæggelsen af deres arbejde"
DA|##|MM202_5|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Jobusikkerhed|##|Jobusikkerhed|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Jobusikkerhed"
DA|##|MM202_6|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: At skulle tackle svære kunder, patienter, elever osv.|##|At skulle tackle svære kunder, patienter, elever osv.|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.At skulle tackle svære kunder, patienter, elever osv."
DA|##|MM202_7|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Problemer i forholdet mellem ledere og medarbejdere|##|Problemer i forholdet mellem ledere og medarbejdere|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Problemer i forholdet mellem ledere og medarbejdere"
DA|##|MM202_8|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Lange og uregelmæssige arbejdstider|##|Lange og uregelmæssige arbejdstider|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Lange og uregelmæssige arbejdstider"
DA|##|MM202_9|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: En uklar personalepolitik|##|En uklar personalepolitik|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.En uklar personalepolitik"
DA|##|MM202_10|##|Psykosociale risici og håndtering heraf|##|Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.: Diskrimination (f.eks. på grund af køn, alder eller etnicitet)|##|Diskrimination (f.eks. på grund af køn, alder eller etnicitet)|##|"Flere faktorer kan bidrage til stress, vold og chikane på arbejdspladsen. De vedrører den måde, hvorpå arbejdet tilrettelægges, og de omtales ofte som ""psykosociale risici"". Kan du fortælle mig om nogen af følgende psykosociale risici giver anledning til bekymring for jeres virksomhed.Diskrimination (f.eks. på grund af køn, alder eller etnicitet)"
DA|##|MM250|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere arbejdsrelateret stress?|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere arbejdsrelateret stress?|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere arbejdsrelateret stress?
DA|##|MM251|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere mobning og chikane?|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere mobning og chikane?|##|Har jeres virksomhed en fast fremgangsmåde til at håndtere mobning og chikane?
DA|##|MM252|##|Psykosociale risici og håndtering heraf|##|Og har I en fast fremgangsmåde til at håndtere arbejdsrelateret vold?|##|Og har I en fast fremgangsmåde til at håndtere arbejdsrelateret vold?|##|Og har I en fast fremgangsmåde til at håndtere arbejdsrelateret vold?
DA|##|MM253_1|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Ændringer i arbejdets tilrettelægges|##|Ændringer i arbejdets tilrettelægges|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Ændringer i arbejdets tilrettelægges
DA|##|MM253_2|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Ændringer i lokaler, farver, design, inventar|##|Ændringer i lokaler, farver, design, inventar|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Ændringer i lokaler, farver, design, inventar
DA|##|MM253_3|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Tilbudt fortrolig rådgivning for medarbejderne|##|Tilbudt fortrolig rådgivning for medarbejderne|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Tilbudt fortrolig rådgivning for medarbejderne
DA|##|MM253_4|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Etablering af en praksis for konfliktløsning|##|Etablering af en praksis for konfliktløsning|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Etablering af en praksis for konfliktløsning
DA|##|MM253_5|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Ændringer i arbejdstidsordningerne|##|Ændringer i arbejdstidsordningerne|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Ændringer i arbejdstidsordningerne
DA|##|MM253_6|##|Psykosociale risici og håndtering heraf|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?: Uddannelsestilbud|##|Uddannelsestilbud|##|Har jeres virksomhed inden for de seneste 3 år brugt nogen af følgende foranstaltninger til at tackle psykosociale risici?Uddannelsestilbud
DA|##|MM256|##|Psykosociale risici og håndtering heraf|##|Træffer jeres virksomhed foranstaltninger, hvis en enkelt medarbejder arbejder uforholdsmæssigt lang tid over eller har uregelmæssige arbejdstider?|##|Træffer jeres virksomhed foranstaltninger, hvis en enkelt medarbejder arbejder uforholdsmæssigt lang tid over eller har uregelmæssige arbejdstider?|##|Træffer jeres virksomhed foranstaltninger, hvis en enkelt medarbejder arbejder uforholdsmæssigt lang tid over eller har uregelmæssige arbejdstider?
DA|##|MM259|##|Psykosociale risici og håndtering heraf|##|Informerer I medarbejderne om psykosociale risici og disses indvirkning på sundhed og sikkerhed?|##|Informerer I medarbejderne om psykosociale risici og disses indvirkning på sundhed og sikkerhed?|##|Informerer I medarbejderne om psykosociale risici og disses indvirkning på sundhed og sikkerhed?
DA|##|MM260|##|Psykosociale risici og håndtering heraf|##|Er jeres medarbejdere blevet informeret om, hvem de skal henvende sig til, hvis der opstår arbejdsrelaterede psykosociale problemer?|##|Er jeres medarbejdere blevet informeret om, hvem de skal henvende sig til, hvis der opstår arbejdsrelaterede psykosociale problemer?|##|Er jeres medarbejdere blevet informeret om, hvem de skal henvende sig til, hvis der opstår arbejdsrelaterede psykosociale problemer?
DA|##|MM171_1|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: Overholde lovkrav|##|Overholde lovkrav|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.Overholde lovkrav
DA|##|MM171_2|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: Anmodning fra medarbejdere eller deres repræsentanter|##|Anmodning fra medarbejdere eller deres repræsentanter|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.Anmodning fra medarbejdere eller deres repræsentanter
DA|##|MM171_3|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: For at fastholde medarbejderne og mindske fravær|##|For at fastholde medarbejderne og mindske fravær|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.For at fastholde medarbejderne og mindske fravær
DA|##|MM171_4|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: Økonomiske eller resultatrelaterede grunde|##|Økonomiske eller resultatrelaterede grunde|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.Økonomiske eller resultatrelaterede grunde
DA|##|MM171_5|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: Krav fra kunderne eller bekymringer om organisationens omdømme|##|Krav fra kunderne eller bekymringer om organisationens omdømme|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.Krav fra kunderne eller bekymringer om organisationens omdømme
DA|##|MM171_6|##|Incitamenter og barrierer|##|Begrundelser til at have fokus på arbejdsmiljøet i virksomheden: Påtale fra Arbejdstilsynet|##|Påtale fra Arbejdstilsynet|##|I jeres virksomhed, hvor vigtige er følgende grunde til at forholde sig til arbejdsmiljøspørgsmål? Kan du, for hver enkelt af dem, fortælle mig om det er en vigtig grund, en mindre vigtig grund eller overhovedet ikke nogen vigtig grund.Påtale fra Arbejdstilsynet
DA|##|MM172_1|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Mangel på ressourcer, så som tid, personale eller penge|##|Mangel på ressourcer, så som tid, personale eller penge|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemMangel på ressourcer, så som tid, personale eller penge
DA|##|MM172_2|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Har ikke været opmærksom på det|##|Har ikke været opmærksom på det|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemHar ikke været opmærksom på det
DA|##|MM172_3|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Mangel på ekspertise|##|Mangel på ekspertise|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemMangel på ekspertise
DA|##|MM172_4|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Mangel på teknisk støtte eller vejledning|##|Mangel på teknisk støtte eller vejledning|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemMangel på teknisk støtte eller vejledning
DA|##|MM172_5|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Kulturen i virksomheden|##|Kulturen i virksomheden|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemKulturen i virksomheden
DA|##|MM172_6|##|Incitamenter og barrierer|##|Største vanskeligheder i forbindelse med at behandle arbejdsmiljøet : Følsomheden i spørgsmålet|##|Følsomheden i spørgsmålet|##|Hvad er de største problemer i jeres virksomhed i forbindelse med arbejdsmiljøarbejdet? Kan du, for hvert af følgende, fortælle mig om det er et større problem, et mindre problem eller overhovedet ikke noget problemFølsomheden i spørgsmålet
DA|##|MM300|##|Incitamenter og barrierer|##|Sammenlignet med andre områder i arbejdsmiljøet, er det da sværere at tackle psykosociale risici, er det mindre svært eller er der ingen forskel?|##|Sammenlignet med andre områder i arbejdsmiljøet, er det da sværere at tackle psykosociale risici, er det mindre svært eller er der ingen forskel?|##|Sammenlignet med andre områder i arbejdsmiljøet, er det da sværere at tackle psykosociale risici, er det mindre svært eller er der ingen forskel?
DA|##|MM302|##|Incitamenter og barrierer|##|Har I brugt information eller støtte fra eksterne kilder om, hvordan man tackler psykosociale risici på arbejdspladsen?|##|Har I brugt information eller støtte fra eksterne kilder om, hvordan man tackler psykosociale risici på arbejdspladsen?|##|Har I brugt information eller støtte fra eksterne kilder om, hvordan man tackler psykosociale risici på arbejdspladsen?
DA|##|MM303a|##|Incitamenter og barrierer|##|Har du brug for yderligere oplysninger eller støtte i forbindelse med dette emne?|##|Har du brug for yderligere oplysninger eller støtte i forbindelse med dette emne?|##|Har du brug for yderligere oplysninger eller støtte i forbindelse med dette emne?<br><br>Spørgsmål til de virksomheder, der oplyser, at de gør brug af information eller støtte fra eksterne kilder med hensyn til, hvordan de skal håndtere psykosociale risici på arbejdspladsen.
DA|##|MM350|##|Medarbejderdeltagelse|##|Har I et samarbejdsudvalg eller et MED-udvalg i jeres virksomhed?|##|Har I et samarbejdsudvalg eller et MED-udvalg i jeres virksomhed?|##|Har I et samarbejdsudvalg eller et MED-udvalg i jeres virksomhed?
DA|##|MM351|##|Medarbejderdeltagelse|##|Og er der en tillidsrepræsentant i jeres virksomhed?|##|Og er der en tillidsrepræsentant i jeres virksomhed?|##|Og er der en tillidsrepræsentant i jeres virksomhed?
DA|##|MM355all|##|Medarbejderdeltagelse|##|Har jeres virksomhed en intern sikkerhedsrepræsentant?|##|Har jeres virksomhed en intern sikkerhedsrepræsentant?|##|Har jeres virksomhed en intern sikkerhedsrepræsentant?<br><br>NL: Findes der et medlem af arbejdsmiljørepræsentanten i virksomheden?
